monitoring_location,monitoring_sublocation,monitoring_station,year,activity_start_date,activity_depth_height_measure,activity_depth_height_unit,layer_collection_start_depth,layer_collection_end_depth,activity_media_name,laboratory_sample_id,site,collect_date,julian,alk,cond,doc,no2,no3,partc,partn,partp,ph,srsi,tdn,tdp,dic,partfe,ca,cl,fe,k,mg,mn,sodium,so4,chla,o2,spec1,nh3,tds,tss,turbidity,a254,e2_e3,e2_e4,s275_295,s350_400,sr,suva
239,NA,NA,2014,20140401,NA,NA,NA,NA,Precipitation,52,239____,2014-04-01,91,15,8,82,4,461,1650,73,7,5.76,0.02,1531,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140419,NA,NA,NA,NA,Precipitation,53,239____,2014-04-19,109,52,15,121,8,489,2150,135,19,6.26,0.035,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140425,NA,NA,NA,NA,Precipitation,54,239____,2014-04-25,115,11,4,44,3,98,630,50,3,5.62,0.008,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140503,NA,NA,NA,NA,Precipitation,55,239____,2014-05-03,123,3,5,80,1,103,2350,139,4,5.3,0.01,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140508,NA,NA,NA,NA,Precipitation,56,239____,2014-05-08,128,19,13,75,6,435,790,78,8,6.02,0.034,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140510,NA,NA,NA,NA,Precipitation,57,239____,2014-05-10,130,6,3,29,2,45,190,51,2,5.63,0.006,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140512,NA,NA,NA,NA,Precipitation,58,239____,2014-05-12,132,3,4,36,2,87,380,12,6,5.76,0.013,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,3,m,NA,NA,Lake Water,34,626_LA_CB_3_m,2014-05-26,146,109,18,411,NA,NA,580,55,5,6.39,0.229,277,3,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,5,m,NA,NA,Lake Water,35,626_LA_CB_5_m,2014-05-26,146,101,18,416,NA,NA,630,60,6,6.36,0.243,274,3,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,7,m,NA,NA,Lake Water,36,626_LA_CB_7_m,2014-05-26,146,102,19,460,NA,NA,530,72,6,6.21,0.283,289,4,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,9,m,NA,NA,Lake Water,37,626_LA_CB_9_m,2014-05-26,146,97,21,423,NA,NA,490,51,6,6.06,0.477,390,4,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,11,m,NA,NA,Lake Water,38,626_LA_CB_11_m,2014-05-26,146,106,21,421,NA,NA,530,74,7,6.05,0.49,389,4,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,NA,epi,NA,NA,Lake Water,33,626_LA_CB__epi,2014-05-26,146,99,18,424,NA,NA,460,32,6,6.72,0.234,304,3,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140526,NA,meta,NA,NA,Lake Water,39,626_LA_CB__meta,2014-05-26,146,102,19,420,NA,NA,630,88,7,6.42,0.247,306,3,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,ET,EIF,2014,20140528,NA,NA,NA,NA,Stream Water,65,239_ET_EIF__,2014-05-28,148,166,30,1816,3,14,280,38,2,6.11,4.504,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,OF,2014,20140528,NA,NA,NA,NA,Stream Water,66,239_LA_OF__,2014-05-28,148,164,28,589,2,50,610,78,5,6.78,2.305,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NET,NEIF,2014,20140528,NA,NA,NA,NA,Stream Water,63,239_NET_NEIF__,2014-05-28,148,0,36,2541,3,2,380,53,3,4.23,4.476,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NWT,NWIF,2014,20140528,NA,NA,NA,NA,Stream Water,64,239_NWT_NWIF__,2014-05-28,148,10,22,1497,2,38,350,38,3,4.9,3.887,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140602,NA,epi,NA,NA,Lake Water,77,239_LA_CB__epi,2014-06-02,153,176,27,NA,1,23,500,41,4,7.11,2.269,269,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140602,5,m,NA,NA,Lake Water,73,442_LA_CB_5_m,2014-06-02,153,133,21,539,1,49,590,52,5,6.31,0.602,309,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140602,9,m,NA,NA,Lake Water,74,442_LA_CB_9_m,2014-06-02,153,146,23,521,1,96,430,29,4,6.19,0.745,312,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140602,13,m,NA,NA,Lake Water,75,442_LA_CB_13_m,2014-06-02,153,130,26,450,3,117,590,46,14,6.03,1.194,363,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140602,17,m,NA,NA,Lake Water,76,442_LA_CB_17_m,2014-06-02,153,616,72,764,10,NA,1630,295,53,6.68,2.668,1358,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140602,NA,epi,NA,NA,Lake Water,72,442_LA_CB__epi,2014-06-02,153,125,20,586,1,42,530,76,6,6.91,0.528,303,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140603,NA,NA,NA,NA,Precipitation,88,239____,2014-06-03,154,12,4,48,NA,45,4340,267,50,5.11,0,82,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,ET,EIF,2014,20140604,NA,NA,NA,NA,Stream Water,95,239_ET_EIF__,2014-06-04,155,155,30,3039,4,2,540,42,4,5.84,4.086,639,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,OF,2014,20140604,NA,NA,NA,NA,Stream Water,96,239_LA_OF__,2014-06-04,155,163,27,618,1,12,640,63,5,7.1,2.238,258,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NET,NEIF,2014,20140604,NA,NA,NA,NA,Stream Water,93,239_NET_NEIF__,2014-06-04,155,130,39,3040,3,3,590,48,5,4.18,4.1,647,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NWT,NWIF,2014,20140604,NA,NA,NA,NA,Stream Water,94,239_NWT_NWIF__,2014-06-04,155,29,24,1815,2,12,400,31,3,4.87,4.389,550,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NE@LA,2014,20140604,NA,NA,NA,NA,Stream Water,97,239__NE@LA__,2014-06-04,155,5,31,2903,4,3,480,34,5,4.47,4.591,618,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140609,3,m,NA,NA,Lake Water,103,626_LA_CB_3_m,2014-06-09,160,98,18,424,1,49,460,45,4,6.61,0.184,274,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140609,5,m,NA,NA,Lake Water,104,626_LA_CB_5_m,2014-06-09,160,118,18,425,1,43,460,47,3,6.52,0.22,304,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140609,7,m,NA,NA,Lake Water,105,626_LA_CB_7_m,2014-06-09,160,100,19,426,NA,71,690,81,8,6.27,0.271,285,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140609,9,m,NA,NA,Lake Water,106,626_LA_CB_9_m,2014-06-09,160,103,19,420,NA,88,660,75,6,6.09,0.338,333,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140609,11,m,NA,NA,Lake Water,107,626_LA_CB_11_m,2014-06-09,160,115,21,463,NA,85,650,61,7,6.04,0.472,414,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140609,NA,epi,NA,NA,Lake Water,102,626_LA_CB__epi,2014-06-09,160,111,17,426,1,37,490,53,3,7.03,0.216,284,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140609,NA,meta,NA,NA,Lake Water,108,626_LA_CB__meta,2014-06-09,160,113,18,415,1,50,540,57,6,6.56,0.229,275,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,LA,CB,2014,20140610,NA,epi,NA,NA,Lake Water,113,227_LA_CB__epi,2014-06-10,161,89,NA,839,1,1,950,116,12,6.45,0.33,389,8,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,LA,CB,2014,20140610,5,m,NA,NA,Lake Water,116,373_LA_CB_5_m,2014-06-10,161,172,24,319,NA,1,630,70,8,6.84,0.992,191,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,LA,CB,2014,20140610,10,m,NA,NA,Lake Water,117,373_LA_CB_10_m,2014-06-10,161,169,25,307,NA,25,640,70,9,6.48,1.041,225,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,LA,CB,2014,20140610,15,m,NA,NA,Lake Water,118,373_LA_CB_15_m,2014-06-10,161,176,27,304,NA,26,350,46,8,6.34,1.22,230,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,LA,CB,2014,20140610,20,m,NA,NA,Lake Water,119,373_LA_CB_20_m,2014-06-10,161,586,17,361,NA,62,2190,387,85,6.53,2.162,966,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,LA,CB,2014,20140610,NA,epi,NA,NA,Lake Water,115,373_LA_CB__epi,2014-06-10,161,165,24,328,NA,1,460,48,6,7.22,0.977,189,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,ET,EIF,2014,20140611,NA,NA,NA,NA,Stream Water,127,239_ET_EIF__,2014-06-11,162,188,33,1833,2,28,360,37,4,6.2,5.269,786,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,OF,2014,20140611,NA,NA,NA,NA,Stream Water,128,239_LA_OF__,2014-06-11,162,169,27,610,2,1,640,70,5,7.14,2.229,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NET,NEIF,2014,20140611,NA,NA,NA,NA,Stream Water,125,239_NET_NEIF__,2014-06-11,162,0,37,2812,NA,5,1870,110,7,4.21,4.706,698,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NWT,NWIF,2014,20140611,NA,NA,NA,NA,Stream Water,126,239_NWT_NWIF__,2014-06-11,162,38,22,1866,3,18,650,65,5,4.88,3.523,648,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140612,NA,NA,NA,NA,Precipitation,142,239____,2014-06-12,163,92,8,116,1,251,50730,2836,187,5.61,0.016,502,9,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140615,NA,NA,NA,NA,Precipitation,143,239____,2014-06-15,166,15,6,44,2,117,2760,150,14,5.13,0.006,273,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140616,5,m,NA,NA,Lake Water,136,239_LA_CB_5_m,2014-06-16,167,160,28,615,NA,9,780,101,6,6.6,2.265,215,4,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140616,10,m,NA,NA,Lake Water,137,239_LA_CB_10_m,2014-06-16,167,154,28,603,NA,65,430,43,4,6.43,2.381,249,4,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140616,15,m,NA,NA,Lake Water,138,239_LA_CB_15_m,2014-06-16,167,174,28,604,NA,68,360,34,5,6.38,2.397,251,4,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140616,20,m,NA,NA,Lake Water,139,239_LA_CB_20_m,2014-06-16,167,176,29,602,NA,68,330,34,4,6.41,2.381,259,4,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140616,25,m,NA,NA,Lake Water,140,239_LA_CB_25_m,2014-06-16,167,165,29,602,NA,69,390,43,5,6.38,2.467,250,4,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140616,30,m,NA,NA,Lake Water,141,239_LA_CB_30_m,2014-06-16,167,170,30,593,NA,69,550,54,8,6.29,2.664,300,5,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140616,NA,epi,NA,NA,Lake Water,135,239_LA_CB__epi,2014-06-16,167,161,27,650,NA,4,540,60,5,7.13,2.186,222,4,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140616,NA,meta,NA,NA,Lake Water,134,239_LA_CB__meta,2014-06-16,167,154,NA,633,NA,3,720,84,6,NA,2.269,259,3,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140616,NA,NA,NA,NA,Precipitation,144,239____,2014-06-16,167,0,3,26,1,58,210,19,2,5.2,NA,65,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,LA,CB,2014,20140617,NA,epi,NA,NA,Lake Water,149,114_LA_CB__epi,2014-06-17,168,140,12,706,NA,6,1320,146,9,6.11,0.465,274,4,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,ET,EIF,2014,20140618,NA,NA,NA,NA,Stream Water,156,239_ET_EIF__,2014-06-18,169,117,25,2282,2,11,300,25,3,5.64,4.663,620,11,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,OF,2014,20140618,NA,NA,NA,NA,Stream Water,157,239_LA_OF__,2014-06-18,169,153,26,685,1,9,540,61,4,7.06,2.231,235,4,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NET,NEIF,2014,20140618,NA,NA,NA,NA,Stream Water,154,239_NET_NEIF__,2014-06-18,169,27,36,2755,3,3,420,42,3,4.19,3.335,510,9,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NWT,NWIF,2014,20140618,NA,NA,NA,NA,Stream Water,155,239_NWT_NWIF__,2014-06-18,169,111,21,1835,1,10,260,30,3,4.78,4.013,447,8,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NE@LA,2014,20140618,NA,NA,NA,NA,Stream Water,158,239__NE@LA__,2014-06-18,169,61,28,2667,3,5,340,28,3,4.43,3.479,510,10,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,LA,CB,2014,20140623,4,m,NA,NA,Lake Water,170,227_LA_CB_4_m,2014-06-23,174,56,19,817,NA,5,3380,530,63,5.75,0.829,423,14,463,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,LA,CB,2014,20140623,6,m,NA,NA,Lake Water,171,227_LA_CB_6_m,2014-06-23,174,150,46,851,3,12,2060,328,58,6.26,1.117,1754,13,964,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,LA,CB,2014,20140623,8,m,NA,NA,Lake Water,172,227_LA_CB_8_m,2014-06-23,174,457,66,1060,4,16,2380,422,91,6.26,1.449,2897,18,1489,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,LA,CB,2014,20140623,10,m,NA,NA,Lake Water,173,227_LA_CB_10_m,2014-06-23,174,718,131,1541,7,18,8000,1379,247,6.3,1.943,6580,34,2933,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,LA,CB,2014,20140623,NA,epi,NA,NA,Lake Water,169,227_LA_CB__epi,2014-06-23,174,68,16,946,1,2,840,125,20,6.28,0.735,298,11,91,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,LA,CB,2014,20140623,NA,meta,NA,NA,Lake Water,174,227_LA_CB__meta,2014-06-23,174,73,17,943,1,3,1440,224,28,6.01,0.83,323,12,181,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140623,NA,NA,NA,NA,Precipitation,175,239____,2014-06-23,174,0,8,54,2,197,1160,53,11,4.95,0.009,371,8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140624,NA,NA,NA,NA,Precipitation,186,239____,2014-06-24,175,0,4,67,1,67,910,44,8,5.31,0.004,173,11,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,LA,CB,2014,20140624,NA,epi,NA,NA,Lake Water,182,373_LA_CB__epi,2014-06-24,175,247,24,383,NA,3,440,40,6,7.2,0.99,205,2,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,LA,CB,2014,20140624,NA,meta,NA,NA,Lake Water,183,373_LA_CB__meta,2014-06-24,175,169,NA,360,NA,3,590,58,5,NA,NA,224,2,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140624,NA,epi,NA,NA,Lake Water,184,626_LA_CB__epi,2014-06-24,175,176,17,515,NA,7,570,51,5,6.99,0.284,251,2,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,LA,CB,2014,20140624,NA,meta,NA,NA,Lake Water,185,626_LA_CB__meta,2014-06-24,175,198,18,478,3,23,600,59,9,6.59,0.255,271,2,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,ET,EIF,2014,20140625,NA,NA,NA,NA,Stream Water,193,239_ET_EIF__,2014-06-25,176,182,21,2292,3,12,310,29,3,5.74,5.501,693,11,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,OF,2014,20140625,NA,NA,NA,NA,Stream Water,194,239_LA_OF__,2014-06-25,176,146,21,723,1,3,640,72,6,7.01,2.222,291,3,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NET,NEIF,2014,20140625,NA,NA,NA,NA,Stream Water,191,239_NET_NEIF__,2014-06-25,176,0,36,2876,3,NA,350,22,4,4.19,4.14,545,7,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NWT,NWIF,2014,20140625,NA,NA,NA,NA,Stream Water,192,239_NWT_NWIF__,2014-06-25,176,49,21,1758,1,2,400,40,4,4.79,4.381,558,6,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NE@LA,2014,20140625,NA,NA,NA,NA,Stream Water,195,239__NE@LA__,2014-06-25,176,85,29,2632,3,2,290,21,2,4.42,4.509,595,8,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140701,NA,epi,NA,NA,Lake Water,202,239_LA_CB__epi,2014-07-01,182,208,26,733,NA,2,520,52,5,7.02,2.298,268,4,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,LA,CB,2014,20140701,NA,meta,NA,NA,Lake Water,203,239_LA_CB__meta,2014-07-01,182,181,26,705,NA,4,600,65,5,6.77,2.281,252,4,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140701,NA,NA,NA,NA,Precipitation,211,239____,2014-07-01,182,NA,NA,49,1,39,300,22,3,NA,0.004,132,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,2014,20140701,NA,NA,NA,NA,Precipitation,210,239____,2014-07-01,182,NA,NA,75,2,125,2670,116,9,NA,0.013,440,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140701,5,m,NA,NA,Lake Water,205,442_LA_CB_5_m,2014-07-01,182,151,22,560,NA,5,660,68,7,6.42,0.508,260,3,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140701,9,m,NA,NA,Lake Water,206,442_LA_CB_9_m,2014-07-01,182,150,24,532,NA,91,470,46,7,6.1,0.766,312,4,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140701,13,m,NA,NA,Lake Water,207,442_LA_CB_13_m,2014-07-01,182,124,27,485,NA,40,800,106,19,5.99,1.296,319,4,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,LA,CB,2014,20140701,17,m,NA,NA,Lake Water,208,442_LA_CB_17_m,2014-07-01,182,578,85,936,3,8,2100,365,55,6.65,3.147,1534,57,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
